,Population2011Census,Wardcode,Ward name,Districtcode,District,Crimerate,Openspace,hhSocialRented,JobSeekers,Noqual,Carsperhousehold,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,LifeExpectancy,Children,Adult,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
75,12216,00ANGC,Avonmore and Brook Green,00AN,Hammersmith and Fulham,81.2,8.8,21.9,4.7,9.3,0.5,43.0,79.2,82.9,81.05000000000001,12.352652259332,77.447347740668,10.2,35.5,52.2,20.4
76,12060,00AGGX,West Hampstead,00AG,Camden,97.6,8.8,22.2,4.6,9.5,0.5,55.6,77.9,83.0,80.45,12.5456053067993,79.05439469320069,8.4,30.5,43.3,13.9
77,12462,00BKGG,Hyde Park,00BK,Westminster,155.4,8.9,9.8,2.9,11.1,0.5,46.0,87.9,91.3,89.6,12.7427379232868,77.3572620767132,9.9,44.7,64.2,34.1
78,17162,00AEGQ,Harlesden,00AE,Brent,189.6,8.9,44.0,23.4,24.1,0.5,106.9,71.9,80.6,76.25,25.8652837664608,66.1347162335392,8.0,67.0,52.9,23.0
79,8187,00AWGR,Saintnley,00AW,Kensington and Chelsea,134.7,9.1,13.1,2.0,7.3,0.7,48.2,81.2,82.8,82.0,14.5840967387321,70.9159032612679,14.5,19.0,48.7,19.3
80,10546,00ADGE,Brampton,00AD,Bexley,31.7,9.2,4.4,2.7,22.9,1.3,43.9,80.4,84.9,82.65,17.2482457803907,61.8517542196093,20.9,13.1,10.4,1.6
81,10892,00AGGE,Bloomsbury,00AG,Camden,438.7,9.2,28.6,4.2,7.8,0.2,22.1,77.2,81.6,79.4,7.13367609254499,82.86632390745501,10.0,40.4,51.2,19.5
82,9537,00AWGK,Notting Barns,00AW,Kensington and Chelsea,100.5,9.3,55.8,9.3,19.4,0.5,67.1,78.9,84.7,81.80000000000001,20.1740589283842,68.4259410716158,11.4,42.7,41.6,14.6
83,11490,00AUGB,Clerkenwell,00AU,Islington,195.4,9.3,42.3,5.6,15.1,0.4,29.2,77.6,84.9,81.25,12.236727589208,79.563272410792,8.2,29.3,38.5,12.6
84,11923,00ANGG,Hammersmith Broadway,00AN,Hammersmith and Fulham,230.4,9.4,39.9,5.5,15.0,0.5,43.4,74.0,81.9,77.95,15.9607481338589,73.9392518661411,10.1,33.9,40.5,13.4
85,10616,00ADGC,Blackfen and Lamorbey,00AD,Bexley,25.8,9.5,3.8,2.1,22.4,1.3,53.3,84.2,84.6,84.4,19.6590052750565,62.8409947249435,17.5,7.3,7.1,1.2
86,14679,00BJGH,Nightingale,00BJ,Wandsworth,63.7,9.5,13.1,2.7,8.9,0.7,63.3,75.3,79.2,77.25,16.2068260780707,74.2931739219293,9.5,21.4,27.7,6.7
87,10200,00BFGT,Wallington South,00BF,Sutton,72.0,9.5,16.4,4.2,18.7,1.1,53.0,178.0,81.7,129.85,18.2058823529412,64.4941176470588,17.3,21.3,18.5,4.3
88,13023,00AEGL,Brondesbury Park,00AE,Brent,91.6,9.6,21.5,5.3,15.9,0.7,67.2,80.3,84.7,82.5,16.7933655839668,71.1066344160332,12.1,43.8,47.2,16.2
89,11553,00AUGL,Saint Mary's,00AU,Islington,253.8,9.6,41.5,5.1,15.5,0.4,47.0,73.6,82.4,78.0,13.6674456851034,76.7325543148966,9.6,25.3,33.1,10.0
90,15618,00AZGS,Perry Vale,00AZ,Lewisham,74.7,9.7,26.5,7.1,16.2,0.7,73.5,76.2,80.8,78.5,20.6876680752977,69.71233192470231,9.6,42.5,30.5,7.2
91,15529,00AEGU,Mapesbury,00AE,Brent,97.9,9.7,19.2,7.3,14.5,0.6,72.6,78.6,86.0,82.3,16.066713890141,75.633286109859,8.3,43.4,52.3,21.3
92,12175,00ANGP,Shepherd's Bush Green,00AN,Hammersmith and Fulham,349.3,9.7,37.9,8.2,13.9,0.4,52.6,72.7,85.4,79.05000000000001,14.7926078028747,77.60739219712531,7.6,40.1,47.2,16.4
93,10813,00ANGL,Parsons Green and Walham,00AN,Hammersmith and Fulham,124.0,9.8,20.6,3.0,9.5,0.8,61.6,80.3,84.6,82.44999999999999,18.0430962730047,71.7569037269953,10.2,17.8,38.2,10.8
94,9104,00AWGE,Earl's Court,00AW,Kensington and Chelsea,105.6,10.0,22.7,5.1,8.4,0.4,44.9,82.2,92.6,87.4,11.4674868189807,79.7325131810193,8.8,35.4,61.0,29.6
95,12658,00ATGP,Hounslow West,00AT,Hounslow,130.4,10.2,18.9,4.6,16.3,0.9,95.8,76.4,81.5,78.95,17.4435139832517,71.35648601674829,11.2,75.9,62.6,29.4
96,15032,00AYGE,Ferndale,00AY,Lambeth,172.6,10.2,37.4,6.6,13.3,0.4,37.5,74.8,82.6,78.69999999999999,12.5598722724854,81.2401277275146,6.2,40.4,41.7,11.8
97,15470,00BBGR,Plaistow North,00BB,Newham,74.0,10.3,41.7,11.3,23.6,0.5,96.0,75.3,82.2,78.75,23.6005171299289,69.2994828700711,7.1,73.4,52.1,23.6
98,10641,00BFGJ,Nonsuch,00BF,Sutton,50.7,10.4,3.6,1.7,18.6,1.4,52.0,81.6,87.4,84.5,18.5508880744291,64.1491119255709,17.3,15.3,15.7,3.6
99,12917,00AUGJ,Mildmay,00AU,Islington,88.9,10.4,47.0,6.8,17.4,0.4,48.5,76.9,81.0,78.95,18.2550127738639,73.9449872261361,7.8,34.5,33.8,10.6
100,11822,00AUGM,Saint Peter's,00AU,Islington,149.9,10.4,40.4,5.9,17.3,0.4,62.3,76.7,80.1,78.4,14.8198274403654,75.3801725596346,9.8,25.6,32.0,9.5
101,15030,00AUGE,Highbury West,00AU,Islington,86.8,10.5,33.5,6.0,12.6,0.4,54.4,75.3,85.1,80.19999999999999,15.189620758483,78.110379241517,6.7,32.1,34.5,12.8
102,14580,00APGQ,Tottenham Green,00AP,Haringey,151.9,10.5,39.2,12.7,22.7,0.4,64.6,72.5,82.8,77.65,20.4183813443073,71.38161865569269,8.2,52.8,55.0,25.8
103,8377,00AWGB,Colville,00AW,Kensington and Chelsea,197.2,10.5,45.2,6.4,13.1,0.4,53.3,78.0,88.4,83.2,14.0981258206995,76.2018741793005,9.7,34.0,44.4,15.5
