Id,Population_2011_Census,Ward_Code,Ward_Name,District_Code,District,Crime_Rate,Open_Space,hh_Social_Rented,Job_Seekers,No_Qual,Cars_Per_Household,General_Fertility_Rate,Male_Life_Expectancy,Female_Life_Expectancy,Life_Expectancy,Children,Adult,Greater_Than_65,Non_White,Not_Born_In_UK,Not_English_Speaking
95,12658,00ATGP,Hounslow West,00AT,Hounslow,130.4,10.2,18.9,4.6,16.3,0.9,95.8,76.4,81.5,79,17.4,71.4,11.2,75.9,62.6,29.4
96,15032,00AYGE,Ferndale,00AY,Lambeth,172.6,10.2,37.4,6.6,13.3,0.4,37.5,74.8,82.6,78.7,12.6,81.2,6.2,40.4,41.7,11.8
97,15470,00BBGR,Plaistow North,00BB,Newham,74,10.3,41.7,11.3,23.6,0.5,96,75.3,82.2,78.8,23.6,69.3,7.1,73.4,52.1,23.6
98,10641,00BFGJ,Nonsuch,00BF,Sutton,50.7,10.4,3.6,1.7,18.6,1.4,52,81.6,87.4,84.5,18.6,64.1,17.3,15.3,15.7,3.6
99,12917,00AUGJ,Mildmay,00AU,Islington,88.9,10.4,47,6.8,17.4,0.4,48.5,76.9,81,79,18.3,73.9,7.8,34.5,33.8,10.6
100,11822,00AUGM,Saint Peter's,00AU,Islington,149.9,10.4,40.4,5.9,17.3,0.4,62.3,76.7,80.1,78.4,14.8,75.4,9.8,25.6,32,9.5
101,15030,00AUGE,Highbury West,00AU,Islington,86.8,10.5,33.5,6,12.6,0.4,54.4,75.3,85.1,80.2,15.2,78.1,6.7,32.1,34.5,12.8
102,14580,00APGQ,Tottenham Green,00AP,Haringey,151.9,10.5,39.2,12.7,22.7,0.4,64.6,72.5,82.8,77.6,20.4,71.4,8.2,52.8,55,25.8
103,8377,00AWGB,Colville,00AW,Kensington and Chelsea,197.2,10.5,45.2,6.4,13.1,0.4,53.3,78,88.4,83.2,14.1,76.2,9.7,34,44.4,15.5
104,11865,00BCGS,Snaresbrook,00BC,Redbridge,67.8,10.6,11.8,2.8,14.9,1,68.8,77.9,84.8,81.4,15.4,67,17.6,30.2,27.2,6.5
105,11589,00ANGJ,North End,00AN,Hammersmith and Fulham,97.7,10.6,28.6,4.7,11.2,0.4,42.3,79.1,89.8,84.4,12.6,80.8,6.6,34.2,47.9,19.4
106,13912,00BHGJ,Hoe Sainteet,00BH,Waltham Forest,110.2,10.6,27,11.5,19,0.6,79.1,75.9,81.7,78.8,21.1,70.1,8.8,49.9,42.8,17.2
107,11124,00AQGP,Rayners Lane,00AQ,Harrow,44.4,10.7,2.2,3.2,13.7,1.3,64.9,82.1,85,83.6,20.6,65.5,13.9,65.5,48,17.6
108,9437,00AXFY,Berrylands,00AX,Kingston upon Thames,34.1,10.8,17.4,2.4,11.9,1,60.4,78.4,83.9,81.2,16.9,68.2,14.9,18.1,24.1,6.9
109,8839,00AWFZ,Brompton,00AW,Kensington and Chelsea,291.9,10.8,12.3,1.4,6.6,0.6,47.3,84.8,90.5,87.6,14.1,72.9,13,24.4,61.7,26.8
110,15917,00BBGG,East Ham Central,00BB,Newham,174.4,10.9,15.7,8.4,19.3,0.6,104.2,75.1,81.7,78.4,22.5,70.4,7.1,81.9,61.4,29.1
111,9750,00AXGE,Coombe Vale,00AX,Kingston upon Thames,36.4,11,6.9,1.8,11.7,1.2,51.4,80.2,85.3,82.8,21.2,65.5,13.3,33.4,33.5,11.1
112,15022,00BJGC,East Putney,00BJ,Wandsworth,49,11,11.3,2.2,7.9,0.7,45.7,80.7,85.1,82.9,13.3,75.7,11,20.6,39.4,9.3
113,11343,00AQFY,Belmont,00AQ,Harrow,56.1,11,3.7,2.8,15.1,1.5,81.1,82.1,85.5,83.8,21.2,65.8,13,58.7,41.6,13.2
114,12201,00AUFX,Barnsbury,00AU,Islington,150.3,11,38.5,5,16.3,0.5,45.1,75,79.5,77.2,14.9,75.7,9.4,28.9,35.5,10.9
115,15169,00ATGL,Hounslow Central,00AT,Hounslow,213.4,11.1,16.9,3.9,12.8,0.7,81.6,78.5,87,82.8,18.5,72,9.5,70.7,64.5,29.5
116,14613,00BJGD,Fairfield,00BJ,Wandsworth,83.7,11.2,15.2,2.4,8.5,0.7,46.2,77.2,80.3,78.8,12.7,80.6,6.7,22.1,32.5,7.1
117,16539,00AHHA,Thornton Heath,00AH,Croydon,95.9,11.2,19.7,11.3,18.7,0.7,87.1,75.6,82.8,79.2,25,65.9,9.1,67.1,37.6,9.4
118,16989,00AEGT,Kilburn,00AE,Brent,123.3,11.2,45,13.3,17.1,0.4,81.4,76.2,84.2,80.2,18.6,72.8,8.6,50,48.1,18.4
119,17768,00BBGU,Saintatford and New Town,00BB,Newham,185.7,11.2,31.8,7,13.9,0.4,49.1,78.5,79.7,79.1,15.5,78.9,5.6,59.2,54.9,23.5
120,15059,00AEGN,Dudden Hill,00AE,Brent,112.1,11.5,19.9,9.1,19.8,0.8,76,85.3,88.1,86.7,20.4,69.9,9.7,55.9,56.2,23.8
121,13939,00APGK,Noel Park,00AP,Haringey,247.3,11.5,38.2,12.1,20.8,0.5,53,74.8,84.7,79.8,19.1,72.4,8.5,45.2,51.7,25.4
122,14480,00BGGB,Bromley-by-Bow,00BG,Tower Hamlets,78,11.7,42.8,11,21,0.4,80.8,76.3,83,79.6,26.7,67.5,5.8,70.4,43.5,22
123,14751,00BJFZ,Balham,00BJ,Wandsworth,90.3,11.7,10.9,2.4,7.1,0.7,59.5,79.3,84.4,81.8,15.7,76.5,7.8,19.4,28.5,6.5
124,14573,00AZGP,Lee Green,00AZ,Lewisham,84.4,11.9,21.2,6.3,14.6,0.7,78,77.1,81.2,79.2,19.3,69.8,10.9,33.7,28.9,8.1
125,7659,00AWGL,Pembridge,00AW,Kensington and Chelsea,163.4,11.9,12.7,2.7,6.2,0.5,40.4,82.1,85.7,83.9,13.3,74.9,11.8,22.1,51.2,20.2
126,9816,00BAGD,Graveney,00BA,Merton,61,12.3,3.9,6,15.8,0.9,91.8,82.9,85.6,84.2,18.2,70.9,10.9,57.5,54.1,23.1
127,13866,00BBGH,East Ham North,00BB,Newham,79.7,12.3,17.6,8.9,19.9,0.7,92.8,71.3,76.9,74.1,21.9,70.2,7.9,90.8,60.2,31.5
128,12212,00AMGD,Clissold,00AM,Hackney,82.5,12.3,34,5.6,14.3,0.5,60.9,77.1,83.5,80.3,18.7,74.7,6.6,34.7,32,10.6
129,15190,00BGGE,Mile End and Globe Town,00BG,Tower Hamlets,85,12.4,46,8.8,19.5,0.4,35.2,76.5,86.4,81.4,18.9,74.5,6.6,52.6,40.6,16.4
130,15358,00BJGG,Latchmere,00BJ,Wandsworth,85,12.5,47,8.2,17.9,0.4,59.1,73,81.5,77.2,19,72.5,8.5,44.5,39.7,11.5
131,14859,00BGGC,East India and Lansbury,00BG,Tower Hamlets,107.4,12.5,57.5,19.5,30.7,0.4,102.2,74.9,81.8,78.4,27.8,65.2,7,63.7,39.5,18.6
132,13392,00AMGB,Cazenove,00AM,Hackney,63.2,12.8,33.8,9.9,23.5,0.4,116.6,74.4,86.7,80.6,28.4,66.2,5.4,43.3,36.4,16.4
133,10323,00BAFX,Abbey,00BA,Merton,82,12.8,14.1,2,10.1,0.7,52.6,80,81,80.5,15.7,75.8,8.5,26.6,38.3,12.5
134,10993,00BFGM,Sutton Central,00BF,Sutton,179.9,12.9,22.7,5.6,18.6,0.8,78.5,75.7,80.3,78,18.8,69.7,11.5,24.1,26.9,99.7
